,actualGDP
1999Q4,7.028143074
2000Q1,4.714459884
2000Q2,5.493125489
2000Q3,2.166054821
2000Q4,1.031807513
2001Q1,1.313418641
2001Q2,0.308413932
2001Q3,-1.342477442
2001Q4,1.63781782
2002Q1,4.91731961
2002Q2,1.245495685
2002Q3,3.949603018
2002Q4,1.372358454
2003Q1,1.417920542
2003Q2,3.228144769
2003Q3,7.884228415
2003Q4,4.058214697
2004Q1,4.391392999
2004Q2,3.247357493
2004Q3,3.92331882
2004Q4,3.776078634
2005Q1,3.733974248
2005Q2,3.256010916
2005Q3,4.058981064
2005Q4,1.639156704
2006Q1,5.430640083
2006Q2,2.526379822
2006Q3,1.941173066
2006Q4,2.42197939
2007Q1,0.59978703
2007Q2,3.750131032
2007Q3,4.790600426
2007Q4,0.575968833
2008Q1,0.869913137
2008Q2,2.786084321
2008Q3,-0.511949831
2008Q4,-6.552471728
2009Q1,-6.644492625
2009Q2,-0.740313605
2009Q3,2.210676365
2009Q4,5.405384199
2010Q1,3.663942308
2010Q2,1.704282645
2010Q3,2.526317825
2010Q4,3.066873744
2011Q1,0.356980813
2011Q2,1.325299235
2011Q3,1.798269416
2011Q4,2.911756242
2012Q1,1.941564037
2012Q2,1.244877164
2012Q3,3.058725981
2012Q4,0.377774308
2013Q1,1.138690184
2013Q2,2.451420818
2013Q3,4.050924562
2013Q4,2.592704222
2014Q1,-2.12927972
2014Q2,4.48970077
2014Q3,4.847340174
2014Q4,2.193216019
2015Q1,0.640916722
2015Q2,3.846124327
2015Q3,1.964117347
2015Q4,1.376937676
2016Q1,0.831120039
2016Q2,1.403887499
2016Q3,3.456030338
2016Q4,2.058423817
2017Q1,1.227685487
2017Q2,3.013953685
2017Q3,3.10711506
2017Q4,2.847074046
2018Q1,2.193411755
2018Q2,4.074643726
2018Q3,3.300959872
2018Q4,2.143363642
2019Q1,3.049176055
2019Q2,1.993809469
2019Q3,2.081688318
2019Q4,2.104332304
2020Q1,-5.082775328
2020Q2,-38.13335515
2020Q3,
